리뷰,평점,긍정부정,리뷰길이
딥 그린제이는 워낙 유명해서 라벤더향으로 샴푸 구매하다가 이번에 일랑일랑향으로 샴푸를 구매해봤어요 긴 머리라 보통 두 번 펌프면 되는데 이건 거품이 잘 나서 한번만 해도 부드러운 거품이 한가득이였어요 정말 놀란 건 이 가격에 미리랍니다가 성 비정말 괜찮지 않나 용용량도 정말 많고 온 가족한동안 써도 충분할 것 같아 요저처럼 머릿결이 푸석푸석하고 부시 시한 머리에 샴푸 하나만 하면 더 뻑뻑 한데 여기에 트린트먼트를 할 수밖에 없는데 이건 샴푸만 해도 손가락이 들어갈 정도로부 드럽네요 그리고 제형이 꿀제형이라고 농축 느낌으로 좋네요 농도가 짙어서 적은 양으로도 모발의 윤기나 향이 극대화한다네요 콜라겐 덕분에 큐티클 손상모를 코팅해서 상하지 않게 케어해준다고 합니다 무엇보다 향이 은은하게 나서 너무 좋네요 어떤 거는 향이 독한 만큼 오래가지만 두피에는 자극적이고 지금 이거는 독하지 않고 일랑일랑은 은은하게 향이 나서 기분 좋네요 콜라겐과 프로폴리스 추출물 함유로 손상된 모발을 윤택하고 탄력 있게 만드는 데도와줘서 건강하고 약산성 제품 으로 가족들 모두들 같이 써도 좋네요,5,y,529
이렇게 기분 좋은 샴푸도 있군 요아로 마 샴푸를 처음 접해보는데요 꽃향기 중에선 뭐니뭐니 해도 일랑일랑이 죠 진짜 향기도 너무 발랄하고 무엇보다 플라워리한 향으로 사랑스럽 달까요향기가 일렁일 때 진짜 기분 좋아져요 샴푸 너무 많아서 고르기 힘든데 진짜 겨우 제이숲으로 선택했어요 디자인도 돋보적으로 제이 숲만의 매력이 보이고 상세 페이지에서 본대 로 너무 멋진 샴푸 게다가 제가 사려는 샴푸 중에는 에이가격대 니더가성비가 좋더라구 요향기도 가장 좋아하는 향이라 결정할 땐 빠르게 구매했습니다 실제로 써보니 은은하게 일랑일랑향이 계속 머무는 게 좋아요 거품도 몽그리 동그리로 엄청 풍성하게 나고 제형도 진해서 그런가 봐 요세정력도 좋구두피가 아주 뽀득 뽀송 하네요 잉머리다 감고 나면 이렇게 상쾌할 순 없어 요샴푸 하나 써보고 전체적으로 합격이라 조만간 일랑일랑으로 다도배해야겠어요 트리트먼트로 세트 구매했는데 진짜 좋은 건 세뜨로써야죠일랑 일랑 라인 적극 추천 드려 요따봉,5,y,502
딥 그린제이아로마 샴푸 지성 두피로 늘 고민하는 평범한 여성입니다 두피는 지성이고 머리카락은 가늘고 힘이 없는 모발이다 보니 헤어 제품 고르는데 좀 신경 쓰는 편입니 다우연히 인터넷 쇼핑하다가 알게 되어서 호기심에 주문하게 된 딥 그린 제이 샴푸 우선 깔끔한 초록 사각형 외관부터 마음에 들고 대용량이다 보니 오래 쓸 수 있어 마음에 들어 요딥 그린제이아로마 샴푸는 약산성이라는 점이 너무 좋았구요 어성초 추출물 그리고 무엇보다 비건 포뮬러라 선택한 이유도 있습니다 제품을 펌 핑해보면 거의 무색에 가까운 느낌이고 거품이 풍성하게 나는 것을 알 수 있어요결코 많은 양을 펌핑하지 않아도 풍성한 거품으로 단발머리라 충분히 사용 가능했고 무엇보다도 놀라운 것은 샴푸하면서 느낀 건데 크림 같은 부드러움과 폭삭함 생크림 같은 느낌도 살짝 느껴지더라구요 그만큼 부드럽고 거품은 풍성했고 두피가 개운한 느낌입니다 또한 가지 좋았던 것은 향이 강하게 나지 않고 은은하게 나서 좋았어요 사실 화장품에 향수까지 뿌리는 요즘 저는 향이 진한 걸 선호하지 않거든 요저 처럼 좋은 성분에 대용량 선호하시는 분들 그리고 은은한 향을 즐기시는 분들께는 적극 추천해 드립니다,5,y,574
제이숲 딥 그린제이아로마 샴푸일랑 일랑향 솔직리뷰 구매 동기제 몸에 쓸 건데 어느 것 하나라도 등한시할 수 없잖아 요저는 향과 성분 둘 다 보고 샴푸를 구매하는데요 집에 여자들도 많고 다 긴 머리라 대용량을 또 좋아하는 데 착한 성분에 대용량에 향까지 다잡은 샴푸인 거 같아 궁금함에 구매하게 되었습니 당 포장 및 배송 완전 빠른 배송으로 주문하고 바로 다음날 받아봤어요 펌프용기이다 보니까 펌프가 배송 중 파손될까봐 펌프랑용 기랑 분리해서 배송해주더라구 요저는 이런 세심함들이 너무 좋아요일랑 일랑향 노트 복숭아 과 일부 케자스민 엠버우드 바닐라향 만족도 엄마도 저도 일랑일랑향을 굉장히 좋아하는데 여지껏 맡아본일랑 일랑향 중에 제일 고급 지고 진한 느낌이었어요엥이게일랑 일랑인가 하던 제품도 많았고 싸구려 향이 나는 제품도 있었는데와 딥 그린 제이일랑 일랑향은 제가 딱 찾던 향이에요강하거나 독하지도 않고 은은하게 유지되는 일랑일랑향이 사람을 고급 지게 만들어주는 거 같아요 제가 이래서 일랑일랑향을 좋아하거든요 그리고 제일 만족스러웠 던건 이런 고급 진향이 알러젠 프리라는 것 알러젠 프리 향으로 이런 고급스러움을 표현했다니 너무 대단해 요향으로 유명한 쿤이나 부케르 이런 애들보다 저는 제이숲이 더 괜찮은 거 같은데 요 거품 및 세정력 저는 허리까지 오는 긴 머리고숱도 많은 편이에 요 한번 사용할 때 회정도 펌핑해서 사용하는데 거품이 잘 나서 그런지 모자르다고 느낀 적 없어요어성초 추출물 덕분에 두피 케어하면서 풍부한 거품으로 저자극 세정이 가능하니까 더할 나위 없이 저는 만족합니다 샴푸 후 모발 상태 성분자 체가 좋다 보니까 뻣뻣해지지 않아서 좋았어요 기껏 머리 감았는데 머리 결더 안 좋아지는 샴푸들 사용하면 저는 너무 기분이 안 좋더라구요 같은 라인 같은 향으로 트리트먼트도 구매할 예정입니 다 같이 사용하면 향도 머리결도 시너지 효과 장난 아닐 듯 총평 다른 향들도 엄청 궁금해지는 샴푸였어요 제이숲이 향고급 지게 잘 뽑는 거 같아서 일랑일랑 향이 질릴 때쯤에 다른 향들도 구매해보겠습니다,5,y,1002
두피가 열이 많고 많이 건조한 타입이에 요 머리에 뾰루지 같은 것도 있구요 머리는 틈만 나면 간지럽고 뾰루 지나 있고 반나절만 지나도 머리를 긁어서 머리가 떡져 있어요 그래서 더울 때 비올 때 절대 외출 안 하려고 해요 이번에 좋은 샴푸로 바꾸려고 네이버 이리저리 뒤지다가 보니까 제이숲 상품이 눈에 띄어서 구입했어요 두피와 비슷한으로 약산성 샴푸가 있는 거에요제머리는 조금만 잘못 감고 해도 떡지고 예민하고 자극도 되고 해서 약산성 샴푸사 보려고 하는 찰나에이거다 싶어서 구매 후 사용해봤은데 향기부터 좋아요 이젠 자극도 가지도 않구 요 머리 뾰루지도 눈에 띄게 손에 안 만져져 요비듬은 보이지도 않구 요건조하지도 않고 두피열도 내려가고 머리 감고 나면 시원하고 머릿결도 괜히 좋아진 거 같아 요트린트먼트 안 하면 완전 빗자 루머릿결인데 이번에 샴푸 사면서 트린트먼트도 바꾸려고 싹다 버려서 트린트먼트를 못했는데도 머리 말리니까 빗자루는 무슨 붓처럼 찰랑거려 요양도 많고 유통기한도 정말 길어서 두고두고 사용할 수 있을 거 같아요 재구매 의향 있구요가 성비도 좋아요 다 쓰면 또 쟁여둘 겸 여러 개 사야 할 거 같아 요약산성 샴푸 찾으시는 분들 머리 예민한데 자극 안주는 제품 찾으시는 분들 가성비 좋은 샴푸 찾으시는 분들 고민하지 마시고 저 믿고 사세 여왕 추천 드려요,5,y,675
대용량이라서 가성비도 너무 너무 좋구 요 펌핑 형태러 되어 있어서양 조절도 편하게 할 수 있어 요트러블에는 어성초가 굉장히 도움이 된다고 하죠어성초 추출물이 정제수 대신해서 프로가 들어가 있고 자극이 될 수 있는 석유계나 화학계면활성제는 빠지고 코코넛 유래 식물성 계면활성제가 들어가 있더라구 요약산성 제품이다 보니까 두피에 확실히 자극이 없어서 예민한 두피에도 사용할 수 있고 저는 특히나 향이 너무 너무 좋은 게 샴푸할 때 만향이 느껴지는 게 아니라 머리를 말리고 나서도 향이 유지가 돼서 향기로운 모발을 유지할 수 있어 요자연 유래 계면활성제로 두피 자극 없이 촉촉하게 클렌징되니 두피가 조금 더 편안해지는 것 같아서 매일 샴푸해도 부담 없더라고 요향기 좋기로 소문난 일랑일랑 향이라 그런지 더 좋게 느껴지는 플로럴 계열의 향을 좋아하신다면 일랑일랑향을 선택해 보세요 업체 측의 제품 제공으로 실제 사용 후 솔직한 후기를 남깁니다,5,y,460
처음 받고 나서 박스 포장을 열었는데 세상 깔끔한 포장새지 않고 무사히 왔더라규용 그리고 포장을 뜯어서 향을 맡아봤는데 향이 은은한 아로마 향이 너무 좋더라구 용제가 사용해본 샴푸 중에 젤향이 좋았어요 향에 취해 바로 머리를 감을 려고 샴푸를 펌핑해봤는데 젤 타입이였어 용 그리고 한 번 펌핑해서 샴푸했는데 거품이 완전 풍성하고 쫀쫀한 거품제가 원하던 바로 그 거품이였어요 이거 완전 가성비갑제가 숱이 많아서 거품을 많이 내려고 평소에 펌핑을 많이 하는 편인데 이 샴푸는 많이 하 지 않아도 거품이 잘 나와서 너무 좋았어요 샴푸 후 머리를 말리는데 말릴 때마다 드라이기 바람을 타고 날 라오는 은은한 향에 또 기분이 좋아지더라구 용 추천 받아서 사본 샴푸인 데이 샴푸 너무 맘에 듭니 당 두피도시원해지고 모발도 부드러워지는 이샴푸 추천합니당,5,y,420
무향 제품으로 사용하다가 향기로운 샴푸향이 그리워져 샴푸 바꿨어 요새 삼스럽게 놀랐지만 저는 샴푸하고 나면 꼭 향은 나야겠구나 싶은 사람이더라구요 제초이스는 일랑일랑이었습니다 진짜 제 최 애향 향도 오래가고 자연 속에 있는 듯한 기분 좋은 향이에요 살롱에 모발 클리닉 받으러 자주 다니는데 살롱에서도 늘 설명해주는 게 두피 관리하려면 샴푸부터 바꿔야 한다고 하더라구요 그러면서 체크할 것들이 실리콘이 들어가는 지 약산성 샴푸인지를 언급해주셨는데 이 샴푸 향도 좋은이 놈이 논 실리콘에 딱 약산성이라서 저도 이제 홈케어해보겠다는 심정으로 샴푸 바꿨습니당 나쁜 건 다 빼고 좋은 건 다들어 있는 듯한 이샴푸 부모님한테도 사드렸는데 사용하고 나서 두피가 간지럽지도 않고 향이 너무 좋다고 좋아하시더라구요 다음에는 일랑일랑 말고 다른 향도 꼭 도전해 볼게요,5,y,438
다른 제품도 써보다 가 이번에는 일랑일랑으로써보려고 샀어요 꼼꼼하게 깜겨지는 샴푸의 느낌이 좋은 딥 그린 제이는 성분부터 좋음에 두피에 자극 없이 케어해주니 좋더라구요어성초 추출물이 함유되어 있고 식물유래 계면활성제로 비건 포뮬러이니 사용하면서 안심하고 쓰기 좋구요일랑 일랑은 달콤한 복숭아와 과일향이 시작되면서 자연스레 마지막까지 퍼지는 향이 바닐라 향으로 기분 좋게 은은 히퍼져 주니 좋네요 매일 감는 머리에 꼼꼼히 두피 속 노폐물 케어가 되어주어서 아주만 족하고 사용하고 있답니다거품도 많이 나서 꼼꼼히 세정이 되어주고 노폐물들에 가려움도 있었고 요즘처럼 바람 많이 불고 뜨거워지는 날씨로 인해 두피의 열로 건조해지면서 여러모로 불편함 많았는데 집으로 돌아와 깨끗하게 케어해주면서 있으니 너무 마음에 들고 기분 좋고 그렇네요 피부에 자극이 되는 성분들 배제되어 있어서 안심하고 샴푸하고 있구요 또 꾸준히 사용하면서 두피에도 모발에도 숨쉬게 해주고 부드러운 머릿결로 이어가야겠네요,5,y,504
출산한 지 일이 다 되어 가는데 일 전후로 탈모가 시작된 거 같더라구 요샴푸가 떨어질 때가 되서 네이버 쇼핑에서 검색하다가 리뷰가 넘 좋고 예전에 트리트먼트와 볼륨스프레이는 제이 숲 꺼가 잘 맞아서 썼던 경험이 있어서 구입을 하게 되었어 요 임신하고부터는 너무 심한 입덧과 임신 두드러기로 무향의 베이비 전용 제품과 그것도 힘들어서 최대한 물로만 씻고 최소한의 화장품만 사용하고 살았었죠 사실 피부가 예민한 편이라 임신 전에도 식물성 또는 거의 착한 성분의 제품만 쓰고 살았어요 임신성 탈모는 일시적인 거라고 특별한 방법이 없고 잘 씻어주면 된다고 해서 그냥 그러려니 하고 원래 쓰던 샴푸 다 쓸 때까지 다 쓰고 걍샴푸가 떨어져서 샀을 뿐인데 웬걸 요샴푸 진작 바꿀 껄 후회가 되요 샴푸 바꾸니 모발이 빠지는 양 자체가 다르더라구요 제가 모발이 많이 가늘고 숱이 적어서 원래 탈모에 좋다는 샴푸만 쓰고요 볼륨 살려주는 제품만 써 요 출산 전 직장생활하던 때는 제모발에 엄청 투자해서 샵도 많이 다녔고 두피 스케일링부터 앰플 영양제 섭취 등 등 진짜 관리엄청했었는데 임 신하고부터는 모든 관리 중단되었드랬죠 출산하곤 진짜 저한테 투자할 시간이 얼마나 되나요 씻는 시간도 감사할 따름이 죠근데 진짜 딥 그린 샴푸 쓰고 머리카락 빠지는 거 자체가 줄고 머리결도 관리 안 하는 거에 비하면 그닥 나쁘지 않고 제가 젤 중요 시 생각했던 모발의 볼륨도 살고 근데 모발이 좀 건강해진 게 맞는지 드라이하면 모발 건조되는 속도도 빨라졌어요 갓난아기를 가진 엄마로써 이 시간 단축 하나로도 진짜 얼마나 감사한지 몰라요 그리고 향은 진짜 좋아요 무향에서 향이 나는 제품 을 얼마만에 쓰는 건지 이것만으로도 샤워 시간이 힐링되기까지 해요 임신하고 탈모있으신 분들 저처럼 때가 되면 괜찮아진다 생각만 마시고 바꿔보세요 진짜 도움이 되요딥 그린 쓰기 전에는 진짜 사진의 머리카락의 배는 빠졌었는데 따로 찍어둔 사진이 없어서 정보 공유를 못함이 아쉽네요 이 정도 길이에 출산하고 이 정도 빠지는 거면 진짜 괜찮지 않나 요임신 탈모스트레스도 사라져서 진짜 진짜 너무 추천하고 싶어서 맘마먹이고 잠든 애기 안고 이렇게 주저리 주저리쓰네요 진짜 굿굿굿,5,y,1056
거품 잘나요 향도 좋아요온 가족이 잘 사용하고 있어요,5,y,30
좋아 요항상 만족해서 케라시스만 써요 향도 좋습니다,5,y,31
사은품도 받고 저렴하게 구매해서 좋아요 향도 좋으네요,5,y,29
무엇보다 싸고 향이 정말 좋아서 대만족이예요당근 재 구 매각입니다향별로 쓰고 있어요,5,y,50
늘 쓰던 제품입니다 집에 어르신들 비롯 대식구들을 위해 항상 구비해 놓는 데 가격도 저렴하고 진짜 좋아요,5,y,60
처음 써보는 향인데 다른 거케라시스 쓰는 중인데 믿고 대량 구매했어요 깨진 거 없고 유통기한도 길어요향 좋았으면 합니다,5,y,60
우선 양이 많아 인가족 한참 쓸 수 있어 좋구 요향이 너무 좋아요 거품도 잘 나고 린스가 보들보들머릿결도 부드럽 구요,5,y,71
향기도 괜찮고 가격도 저렴하고 좋아요 다 쓰고 또 주문할 게요,5,y,35
항상 애용하는 제품입니다 이번에도 재구매했어요 잘 쓸께요,5,y,31
배송도 꼼꼼히 포장해서 보내주시고 가격 대비 품질도 좋아요,5,y,31
항상 사용하는 제품이라 믿고 구입합니다,5,y,23
향도 좋고 가성비 너무 좋아요,5,y,15
첫 구매입니다 향이 좋아요,5,y,16
향이 좋아서 구매했어요 머리가 길어서 샴푸를 금방 쓰는 편인데 라 용량도 넉넉하고 포장도 안전하게 신문지로 다 싸서 보내주셨네요 다음에 또 주문할께요,5,y,87
첫 구매입니다 향이 좋아요,5,y,14
향도 좋고 오랜만에 케라시스 사용하네요 배송도 빠르고 사용 잘하겠습니다 감사합니다,5,y,46
항상 사용하는 제품인데 저렴한 가격에 빠른 배송으로 매우 만족합니다 감사합니다,5,y,46
좋아요 좋아요 좋아요 좋아요 좋아요 좋아요 좋아요 좋아요,5,y,25
영상에서처럼 유통기한도 넉넉하고 가격 향품질 뭐 하나 빠지지 않는 좋은 제품입니다 강추,5,y,51
좋아요 잘 쓸께요 좋아요 잘 쓸께요 좋아요,5,y,21
적은 양으로도 거품이 잘 나고 무엇보다 향이 좋았어요감을 때도 괜찮지만 마른 다음에 은은하게 남는 향이 좋아요 만족합니다,5,y,62
샴푸 냄새 너무 좋아요 거품도 잘 나고 세정력도 좋습니다 좋은 가격에 주셔서 감사해요,5,y,50
매번 사용하던 제품입니다 포장도 엄청 꼼꼼하게 해서 보내주셨더라구 요향이 너무 좋아용,5,y,44
거품도 풍성하고 향기도 좋고 세정력도 굿세가지 골고루 구매했는데 향이 다 좋으네요,5,y,49
향이 좋아요 늘 쓰는 제품입니다 떨어지면 또 쟁겨놓고 쓰고 쭉 써왔어요 가격도 좋고 향도 좋고 트러블도 없고 무난한 제품이에요,5,y,70
딸 래미가 이것만 써요 향기도 좋고 머리결도 좋고 저렴하게 잘 샀어요,5,y,37
항상 사용하던 제품이라 품질은 믿고 씁니다 향도 좋고 세정력도 좋아요,5,y,39
재구매 의사 만족도 케라시스는 냄새도 너무 좋고 오래가는 거 같아서 자주 사용해요 빠르게 배송해주셔서 감사합니다,5,y,74
거품도 잘 나고 세정력 향 모두 좋아서 늘 대량 구매해요강추합니다,5,y,38
이 제품을 구입 고려하는 분들이 검색했을 단어는 아마 대용량 가성비 같은 것일 겁니다 검색해보면 쉬이 알 수 있지만 이 제품의 가장 큰 장점 중 하나는 가격입니다 그런데 실사용을 하면서 또 다른 장점을 찾을 수 있었는데 그것은 바로 자연스러운 향입니다 세정 이후 밖으로 나갔을 때 은은하면서도 자연스럽게 남는 향은 여타 제품 대비 재구매를 고려하게 하는 특장점이라 하겠습니다,5,y,220
제가 이 제품을 쓰고 있는데 손님이 향이 좋다고 사달래서 사면서 같은 걸로 더 구입했네요 가격은 요즘 마트에서 할인 행사하는지 이 제품보다 많이 싸긴 하던데 아무래도 제품에 차이가 있겠죠 거품도 잘 나고 향도 좋아서 만족해요,5,y,124
케라시스 샴프린스가 향기가 너무 좋아서 다른 상품은 찾아보도 않고 이걸로 바로 결정해서 구매했습니다 몸에 있습니다 잘 받았는데 린스가 조금 새어서 박스에 나왔더라구 요쩝 그래도 상품엔 문제 없어서 그냥 쓰려고 해요담엔 잘 부탁드리겠습니다,5,y,130
배송은 빠른 편이고 늘상 쓰는 제품이라고 민도 안 하고 구매했네요 이번에는 린스가 떨어질 때 되서 샴푸린스로 구매했는데 앗이번엔 깨진 건 아니지만 샴푸 하나가 뚜껑이 열려 있어서 세버렸드라고 요 오픈도 잘 안 되서 좀 아쉬웠어요 샴푸랑 린스같이 쓰면 냄새도 좋고 세정력도 좋고 사용기한도 넉넉해서 쓰는 거지만 이번엔 아쉬움이 남았네요,5,n,182
향이 좋아요 여자가 많은 집이라 보통 샴푸가 빨리 없어지는데 양도 넉넉하고 기간도 길어서 좋아요 뽁뽁이라던지 보호 장치 없이 들어 있어서 놀랬는데 다행이도 깨지거나 한 곳은 없네요 다음에는 뽁뽁이 같은 보호장치로 조심히 왔으면 합니다,5,y,133
케라시스 퍼퓸 샴푸 이번에도 고모한테 사줬네요 이것만 몇 년째 계속 고집해요 다른 거 바꿔보라 해도 향이 마니나서 좋다고 한번 구매할 때 쟁여두고 쓰는 우리 고모 이번에도 개나 구매하네요스위트 앤플라워 샴푸은은하게 향이 좋아요,5,y,124
저렴한 가격으로 잘 구매했어요 샴푸 향도 좋고 용량도 커서 좋습니다 여자라 머리가 길어서 그런지 샴푸가 헤프거든요 단점은 택배 포장이 박스에 신문지로만 싸서 와서 조금 불안합니다 저는 터져서 오진 않았지만 다음에 구매하게 된다면 뽁이라도 싸져서 오면 좋겄어 요 저렴한 가격으로 잘 구매했어요 샴푸 향도 좋고 용량도 커서 좋습니다 여자라 머리가 길어서 그런지 샴푸가 헤프거든요 단점은 택배 포장이 박스에 신문지로만 싸서 와서 조금 불안합니다 저는 터져서 오진 않았지만 다음에 구매하게 된다면 뽁이라도 싸져서 오면 좋을 것 같아 요 저렴한 가격으로 잘 구매했어요 샴푸 향도 좋고 용량도 커서 좋습니다 여자라 머리가 길어서 그런지 샴푸가 헤프거든요 단점은 택배 포장이 박스에 신문지로만 싸서 와서 조금 불안합니다 저는 터져서 오진 않았지만 다음에 구매하게 된다면 뽁이라도 싸져서 오면 좋을 것 같아요,5,y,416
어디서 자꾸 꽃향기가 난다했는데 새로운 샴푸 냄새였네요 아카시아 향에 취해 살았던 터라 새로운 꽃향기인 줄 요배송 빠르고 용량 크고 잘 샀네요 근데 용기 바깥 마감이 좀 그래도 쓰는데 문제 없으니 그냥 씁니다 크기 참고하시라고 핸드폰 올려놓고 찍어요,5,y,144
재구매 건 잘 닦이 고향도 오래 가서 딸 친구들이 머리 냄새 좋다고 샴푸머쓰냐고 물어본다네요 지속력이 좋다는 증거 샴푸만 써보고 선택한 거라린스는 아직 써보진 않았지만 믿고 써지는 제품이예요 또 쓰고 또 또 재구매하겠습니다,5,y,132
빠른 배송감사합니다 아주 꼼꼼하게 포장해 주어서 좋았어요 마트 세일가보다 더 싸게 구입했습니다 꽃향기가 너무 좋아요 사용기간 넉넉합니다,5,y,77
향도 좋고 배송도 하루 만에 오고 거품도 풍부하고 너무 만족합니다 다 쓰면 또 주문할께 요감사합니다,5,y,62
가격도 싸고 용량도 많고 항상 써오던 샴퓨라 너무 좋아요,5,y,31
조아요조아요조아요조아요조아요조아요조아요조아요조아요,5,y,29
유통기한도 길고향도 좋아요,5,y,15
좋아요 좋아요 좋아요 좋아요 좋아요 좋아요 좋아요 좋아요 좋아요 좋아요 좋아요 좋아요 좋아요 좋아요 좋아요 좋아요 좋아요 좋아요 좋아요 좋아요 좋아요 좋아요 좋아요 좋아요 좋아요 좋아요 좋아요 좋아요 좋아요 좋아요 좋아요 좋아요 좋아요 좋아요 좋아요 좋아요 좋아요 좋아요 좋아요 좋아요 좋아요 좋아요 좋아요 좋아요 좋아요 좋아요 좋아요,5,y,187
늘 사용하는 제품익에 요 가격 대비 품질 좋아서 항상 대량 구매하고 쟁여놓고 쓰고 있어요강 추입니다,5,y,55
우선 향기가 진짜 여성 여성해요 향수 따로 쓰지 않아도 샴푸향이 다 해주는 듯 거품도 풍부해서 많이 짜지 않아도 충분합니다제가 제일 좋아하는 향샴푸,5,y,88
잘 쓸께 요 감사합니다 감사합니다 감사합니다 감사합니다 감사합니다 감사합니다 감사합니다 감사합니다 감사합니다 감사합니다 감사합니다 감사합니다 감사합니다 감사합니다 감사합니다,5,y,95
늘 사용하는 제품이에요 마트보다 저렴해 요양도 많고 향도 좋아요 거품도 잘 나고 질도 좋아요 잘 쓰겠습니다,5,y,64
딸아이가 꾸준히 쓰는 샴푸에 여향기 좋고 머리결도 좋나 봐요 저렴하게 잘 샀어요 감사,5,y,48
좋아요 향기 가격 배송 상태 다 좋네요 다 쓰고 또 주문할 게요,5,y,38
늘 사용하던 제품이라 믿고 구입했습니다 배송 빠르고 좋아요,5,y,34
배송도 빠르고 포장도 꼼꼼하게 잘해주셔서 파손된 거 없이 잘 받았습니다 감사합니다 잘 쓸께요,5,y,53
우연히 다른 곳에서 사용해보고 좋아서 구매했는데 탁월한 선택이었네요 특히 향이 너무 좋아요,5,y,52
마트에서 구매해서 사용하다가 온라인에서 구매해서 사용하고 있는데 향도 너무 진하지 않고 거품도 풍성하게 나고 바글바글하니 머리 감는 기분이 좋아요 그래서 한꺼번에 많이 구매했습니다 다 사용하고 또 구매할 게요,5,y,117
거품도 잘 나고 향도 좋아요 처음 구매하느라 두 개 샀는데 사용해보고 더 좋은 거 구매할 게요,5,y,50
꼼꼼 포장 저렴한 가격 빠른 배송까지 모두 만족스러워 요 만족,5,y,49
조아요조아요조아요조아요,5,y,12
좋아요 좋아요 좋아요 좋아요,5,y,12
다른 제품을 사용하다가 갈아탔어요 일단은 가격이 합리적이여서 오래전에 사용해보았는데 사용 후 다시 후기 쓸게요 잘 쓰겠습니다 배송도 너무 만족합니다 서비스까지 챙겨주셔서 감사해요 다음에 또 구매할께요,5,y,120
늘 케라시스를 사용하는 데 이번에는 퍼퓸으로 구입해 보았습니다 향도 좋고 거품도 풍성해서 더맘에 들어요,5,y,60
저는 락스 냄새가 싫어서 욕실 청소용으로 사용하고 있어 요향도 괜찮고 거품이 잘 나서 좋아요 감사합니다,5,y,57
향도 좋고 가격도 저렴하고 무엇보다 양이 많아서 더 좋아요 다 쓰고 또 구매할께요 많이 파세요,5,y,53
향기도 좋고 거품도 많이 나서 머리감기에 좋네요 대용량 제품이라 사용가간도 넉넉해서 좋아요,5,y,51
항상 쓰는 제품이에요 저렴하고 향도 좋구요 포장도 꼼꼼하게 잘해주셨어요,5,y,40
사용하던 거라 향만 변경했는데 향이 너무 좋네요 탐에 또 구입하러 올께요,5,y,38
늘이 샴푸만 써서 여기가 제일 저렴해서 구입,5,y,24
향이 너무 좋네요 쓰던 제품이라 가성비 좋은 곳에서 구매해서 만족합니다,5,y,39
기본 세척은 말할 것도 없고 향지속력 가성비 다 좋아요 많이 파세요,5,y,39
일사우나를 다녀서 삼퓨를 많이 쓰는 데 적은 용량만 쓰다가 이렇게 큰 용량을 사고 보니 정말 든든합니다 향도 좋고 세정력도 좋아서 만족합니다,5,y,74
가성비 좋은 제품이네 요 용량도 크고 향도 좋고 아주 만족합니다,5,y,37
향도 매력적이고 보습도 좋아요아 주맘에 들어 요 가격도 저럼하고,5,y,33
냄새 너무 좋아 요 배송도 빠르고 다음에 또 여기서 구매할께요,5,y,33
향 좋고 막 쓰기 좋아요 거품도 잘 나고 요 근데 뚜껑이 삐꾸에요,5,y,33
향도 좋고 거품도 잘 일어나고 맘에 들어요 늘 쓰는 제품이예요,5,y,30
향이 좋아요 그리고 양도 많고 가격도 저렴하고 맘에 들어요,5,y,31
향이 너무 좋아요 양도 많고 가격까지 착해서 맘에 들어요,5,y,30
향도 좋구 가격 대비 용량도 많아서 항상 쓰는 제품입니다,5,y,29
가격도 저렴하고 향도 좋고 거품도 풍부하고 세정력도 좋은 것 같아 요케라시스는 예전부터 쓰던 거라 믿고 쓰고 있습니다,5,y,51
좋아요 감사합니다 좋아요 감사합니다,5,y,19
꼼꼼 포장 저렴한 가격 빠른 배송 모두 만족스러워요,5,y,32
아직 써보진 않았지만 저렴하게 구입했네요 빠른 배송감사합니다,5,y,35
지인의 추천으로 사용해 봄 향도 좋고 세정력도 좋아요,5,y,30
향기가 넘 좋아 요세정력도 좋고 샴프 후에 머릿결도 부드러워지는 것 같아요 만족합니다,5,y,50
향도 좋고 거품도 풍부하고 세정력도 좋아요,5,y,24
우연히 사용해보고 향이 너무 좋아서 구매했어요 저렴하게 구매해서 좋아요 유통기한도 넉넉하네요,5,y,53
샴푸는 향도 좋도 좋아 요린스는 머리결이 부드러워 좋아요 가격도 좋고 배송도 빠르고 만족합니다,5,y,51
배송도 빠르고 좋은 제품 저렴하게 구매 잘했습니다 향도 너무 좋아요 재구매의사 있습니다 사업 번창하시구요,5,y,62
향 좋아요 대용량 굿굿,5,y,10
아이가 좋은 향기나는 샴푸 사달라고 해서 샀데 향도 좋고 용량도 크고 좋아요,5,y,44
첨시켜봤는데 향도 좋고 배송도 빠르네 요싼 가격에 구매해서 좋아요 잘 쓸께요,5,y,38
향도 좋고 세정력도 좋아요 만족합니다,5,y,18
샴푸가 필요해서 샀습니다 대용량 싸게 사서 만족하구 요포장도 엄청 꼼꼼하네요 분홍색 샴푸만 써봤는데 살짝 달짝하면서도 은은한 꽃향 같다는 개인적인 생각입니다 일단 지금까지는 만족합니다,5,y,99
좋아요 향도 좋고 세정력도 좋아요,5,y,18
대용량으로 가성비 아주 좋아 요 배송도 빠르고 상품도 안전하게 잘 포장되어 왔습니다 다 사용하면 재구매할 껍니다,5,y,63
향이 넘 좋아 요세정력도 좋아요,5,y,17
향이 좋아 요세정력도 좋아요,5,y,16
무엇보다 향긋한 향이 아주 오래 가서 우리 가족 모두 만족하며 잘 쓰고 있답니다,5,y,44
퍼퓸 샴푸라 그런지 아주 향이 좋습니다 또 용량도 커서 진짜 최고입니다다음에도 또 주문해야겠어요,5,y,53
